number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
10,6655.7275390625,2026-02-24 05:40:32.532120,2026-02-24 05:40:33.195858,0 days 00:00:00.663738,0.768161603273759,3.382861898713898,0.03018055303192452,2,5,1200,16.035821770966244,0.6071847502459278,COMPLETE
11,4093.542724609375,2026-02-24 05:40:33.196848,2026-02-24 05:40:33.338411,0 days 00:00:00.141563,0.7320655449667838,2.2523516179947425,0.18146543871946538,3,4,200,5.803984580764249,0.7184348852751731,COMPLETE
12,5412.0078125,2026-02-24 05:40:33.339507,2026-02-24 05:40:33.565399,0 days 00:00:00.225892,0.7719558699472137,3.1248876473055467,0.069296516600782,3,5,400,12.244786231355487,0.7234707775332928,COMPLETE
13,5108.662109375,2026-02-24 05:40:33.566310,2026-02-24 05:40:34.197865,0 days 00:00:00.631555,0.7186035413463846,1.6947996380770425,0.023589778018591148,3,4,1200,4.717614862643787,0.6908556046603515,COMPLETE
14,5743.650390625,2026-02-24 05:40:34.198825,2026-02-24 05:40:34.309821,0 days 00:00:00.110996,0.6052561262871233,0.07481229390808108,0.05401611276472664,2,6,200,5.753875354645532,0.654454136806006,COMPLETE
15,7476.82763671875,2026-02-24 05:40:34.310731,2026-02-24 05:40:34.926559,0 days 00:00:00.615828,0.81449654833591,2.621662254678983,0.12126389802449337,4,4,1000,0.43150821166037806,0.7599922797534859,COMPLETE
16,5897.0703125,2026-02-24 05:40:34.928763,2026-02-24 05:40:35.234339,0 days 00:00:00.305576,0.6748402959887652,1.6286109828726398,0.046716259428319126,4,7,400,9.59600010508636,0.7856665984179806,COMPLETE
17,5173.80126953125,2026-02-24 05:40:35.236434,2026-02-24 05:40:35.628092,0 days 00:00:00.391658,0.7673758708920512,3.844172497178392,0.1240406687193962,4,3,600,2.1497715227723666,0.6606937272259696,COMPLETE
18,6068.1435546875,2026-02-24 05:40:35.629075,2026-02-24 05:40:35.758785,0 days 00:00:00.129710,0.8604035330355403,2.9476872494684905,0.02576830635561615,2,4,200,19.890268312886796,0.847631123750737,COMPLETE
19,4382.1484375,2026-02-24 05:40:35.759722,2026-02-24 05:40:35.990857,0 days 00:00:00.231135,0.7367466368606105,2.219082002206859,0.017317522727622235,3,6,400,0.44625454621816407,0.6003429536877471,COMPLETE
20,5926.19482421875,2026-02-24 05:40:35.991828,2026-02-24 05:40:36.572268,0 days 00:00:00.580440,0.8781659231750594,1.333601801783339,0.11826909151719973,4,3,1000,1.0323209172132377,0.7603864950608997,COMPLETE
21,4844.11767578125,2026-02-24 05:40:36.573293,2026-02-24 05:40:36.790732,0 days 00:00:00.217439,0.7422993282294453,2.261261675937312,0.016209908567987385,3,6,400,0.4266519355897053,0.6029013775262626,COMPLETE
22,4831.57861328125,2026-02-24 05:40:36.791665,2026-02-24 05:40:36.915861,0 days 00:00:00.124196,0.7871671929249395,2.1498727945817766,0.014201285335063625,3,8,200,0.2520282795635041,0.6468034636721667,COMPLETE
23,4864.482421875,2026-02-24 05:40:36.916792,2026-02-24 05:40:37.116104,0 days 00:00:00.199312,0.6799218046956045,1.5026963339347126,0.01998446130837731,2,5,400,1.8938649785430322,0.7029952281203268,COMPLETE
24,4695.931640625,2026-02-24 05:40:37.117054,2026-02-24 05:40:37.287723,0 days 00:00:00.170669,0.7442578096512015,2.7704076828705464,0.011265221981092725,4,7,200,8.638780185657737,0.7626065039429898,COMPLETE
